invoice_id,account_ref,currency,gross_minor,net_minor,fee_minor,tax_rate,status,created_at,settled_at,gateway,attempts
inv_8823401,acct_44190,EUR,128940,121500,7440,0.19,settled,2031-04-18T09:14:02Z,2031-04-18T09:14:41Z,northgate,2
inv_8823402,acct_51882,USD,4990,4990,0,0.00,pending,2031-04-18T09:15:10Z,,,0
inv_8823403,acct_33017,GBP,75000,0,0,0.20,failed,2031-04-18T09:16:44Z,,northgate,3
inv_8823404,acct_44190,EUR,21500,20210,1290,0.19,settled,2031-04-18T09:18:01Z,2031-04-18T09:18:22Z,northgate,1
inv_8823405,acct_90011,CHF,100000,94100,5900,0.077,settled,2031-04-18T09:19:33Z,2031-04-18T09:19:58Z,southpier,1
inv_8823406,acct_51882,USD,249500,236112,13388,0.00,settled,2031-04-18T09:21:04Z,2031-04-18T09:21:44Z,southpier,1
inv_8823407,acct_33017,GBP,15000,14100,900,0.20,refunded,2031-04-18T09:22:17Z,2031-04-18T09:40:02Z,northgate,1
inv_8823408,acct_44190,EUR,899000,846060,52940,0.19,settled,2031-04-18T09:23:41Z,2031-04-18T09:24:19Z,northgate,2
inv_8823409,acct_00012,EUR,1200,1129,71,0.19,settled,2031-04-18T09:25:00Z,2031-04-18T09:25:11Z,northgate,1
inv_8823410,acct_90011,CHF,44190,41583,2607,0.077,pending,2031-04-18T09:26:12Z,,,0
inv_8823411,acct_51882,USD,7899,7899,0,0.00,failed,2031-04-18T09:27:40Z,,southpier,3
inv_8823412,acct_33017,GBP,412000,387280,24720,0.20,settled,2031-04-18T09:29:02Z,2031-04-18T09:29:51Z,northgate,1
inv_8823413,acct_44190,EUR,64,60,4,0.19,settled,2031-04-18T09:30:18Z,2031-04-18T09:30:27Z,northgate,1
inv_8823414,acct_00012,EUR,1849900,1739906,109994,0.19,settled,2031-04-18T09:31:44Z,2031-04-18T09:32:40Z,southpier,1
inv_8823415,acct_90011,CHF,880,828,52,0.077,settled,2031-04-18T09:33:09Z,2031-04-18T09:33:20Z,southpier,1
inv_8823416,acct_51882,USD,32100,30183,1917,0.00,pending,2031-04-18T09:34:55Z,,,0
inv_8823417,acct_33017,GBP,99900,93906,5994,0.20,settled,2031-04-18T09:36:11Z,2031-04-18T09:36:49Z,northgate,2
inv_8823418,acct_44190,EUR,5040,4738,302,0.19,settled,2031-04-18T09:37:28Z,2031-04-18T09:37:39Z,northgate,1
inv_8823419,acct_00012,EUR,760000,714400,45600,0.19,failed,2031-04-18T09:38:50Z,,northgate,3
inv_8823420,acct_90011,CHF,12500,11750,750,0.077,settled,2031-04-18T09:40:02Z,2031-04-18T09:40:31Z,southpier,1
